id,title,japan release date,rating,length,genre,director,studio
tt0142666,"Momotaro, Sacred Sailors",03-12-1945,5.8,74,"adventure, family",Mitsuyo Seo,"Shochiku Mediaworx, Shochiku Doga Kenkyujo"
tt0051694,Panda and the Magic Serpent,08-22-1958,6.6,79,"adventure, family, fantasy",Taiji Yabushita,Toei Animation
tt0063668,Horus: Prince of the Sun,07-21-1968,6.6,82,"action, adventure",Isao Takahata,Toei Animation
tt0064961,A Thousand & One Nights,06-14-1969,6.6,128,"action, adventure",Eiichi Yamamoto,Mushi Productions
tt0069058,The Adventure of Panda and Friends: Panda Family!,12-17-1972,6.8,34,comedy,Isao Takahata,TMS Entertainment
tt0071203,Belladonna of Sadness,06-30-1973,7.4,86,"drama, fantasy",Eiichi Yamamoto,"SpectreVision, Mushi, Nippon Herald Films"
tt0080772,Galaxy Express 999,08-04-1979,7.4,129,"action, adventure",Rintaro,Toei Animation
tt0079833,Lupin the 3rd: Castle of Cagliostro,12-15-1979,7.7,100,"adventure, family",Hayao Miyazaki,TMS Entertainment
tt0079293,Space Firebird,07-13-1982,7,95,"adventure, drama",Taku Sugiyama,"Tezuka Productions, Toho Company"
tt0083053,Gauche the Cellist,01-23-1982,7,60,"fantasy, music",Isao Takahata,Oh Production
tt0086148,Golgo 13: The Professional,05-07-1983,6.8,94,"action, crime",Osamu Dezaki,"Toho-Towa, TMS Entertainment, Filmlink International"
tt0085218,Barefoot Gen,07-21-1983,8,83,"biography, drama",Mori Masaki,"Madhouse, Gen Productions"
tt0294497,Dallos,12-21-1983,6.3,120,sci-fi,Mamoru Oshii,Pierrot Project Co. Ltd
tt0088334,Urusei Yatsura 2: Beautiful Dreamer,02-11-1984,7.5,98,"adventure, comedy",Mamoru Oshii,"Kitty Films, Pierrot"
tt0087544,Nausicaa of the Valley of the Wind,03-11-1984,8.1,117,"adventure, fantasy",Hayao Miyazaki,"Nibariki, Tokuma Shoten, Hakuhodo, Topcraft"
